#n constant logn linear
1 1 0.000000 1
11 1 3.459432 11
21 1 4.392317 21
31 1 4.954196 31
41 1 5.357552 41
51 1 5.672425 51
61 1 5.930737 61
71 1 6.149747 71
81 1 6.339850 81
91 1 6.507795 91
101 1 6.658211 101
111 1 6.794416 111
121 1 6.918863 121
131 1 7.033423 131
141 1 7.139551 141
151 1 7.238405 151
161 1 7.330917 161
171 1 7.417853 171
181 1 7.499846 181
191 1 7.577429 191
201 1 7.651052 201
211 1 7.721099 211
221 1 7.787903 221
231 1 7.851749 231
241 1 7.912889 241
251 1 7.971544 251
261 1 8.027906 261
271 1 8.082149 271
281 1 8.134426 281
291 1 8.184875 291
301 1 8.233620 301
311 1 8.280771 311
321 1 8.326429 321
331 1 8.370687 331
341 1 8.413628 341
351 1 8.455327 351
361 1 8.495855 361
371 1 8.535275 371
381 1 8.573647 381
391 1 8.611025 391
401 1 8.647458 401
411 1 8.682995 411
421 1 8.717676 421
431 1 8.751544 431
441 1 8.784635 441
451 1 8.816984 451
461 1 8.848623 461
471 1 8.879583 471
481 1 8.909893 481
491 1 8.939579 491
501 1 8.968667 501
511 1 8.997179 511
521 1 9.025140 521
531 1 9.052568 531
541 1 9.079485 541
551 1 9.105909 551
561 1 9.131857 561
571 1 9.157347 571
581 1 9.182394 581
591 1 9.207014 591
601 1 9.231221 601
611 1 9.255029 611
621 1 9.278449 621
631 1 9.301496 631
641 1 9.324181 641
651 1 9.346514 651
661 1 9.368506 661
671 1 9.390169 671
681 1 9.411511 681
691 1 9.432542 691
701 1 9.453271 701
711 1 9.473706 711
721 1 9.493855 721
731 1 9.513728 731
741 1 9.533330 741
751 1 9.552669 751
761 1 9.571753 761
771 1 9.590587 771
781 1 9.609179 781
791 1 9.627534 791
801 1 9.645658 801
811 1 9.663558 811
821 1 9.681238 821
831 1 9.698705 831
841 1 9.715962 841
851 1 9.733015 851
861 1 9.749869 861
871 1 9.766529 871
881 1 9.782998 881
891 1 9.799282 891
901 1 9.815383 901
911 1 9.831307 911
921 1 9.847057 921
931 1 9.862637 931
941 1 9.878051 941
951 1 9.893302 951
961 1 9.908393 961
971 1 9.923327 971
981 1 9.938109 981
991 1 9.952741 991
